in,jn,x,y,qc,tc,te,tl
3,68,41,49,25,10,0,974
4,45,35,17,-7,10,0,972
5,102,55,45,-13,10,0,967
6,99,55,20,12,10,678,801
7,18,15,30,19,10,0,969
8,88,25,30,35,10,415,514
9,66,20,50,9,10,0,968
10,57,10,43,-9,10,404,481
11,92,55,60,-16,10,400,497
12,73,30,60,15,10,577,632
13,53,20,65,-12,10,206,325
14,28,50,35,-19,10,0,975
15,62,30,25,-23,10,690,827
16,46,15,10,-20,10,32,243
17,87,30,5,41,10,175,300
18,7,10,20,-19,10,272,373
19,23,5,30,11,10,733,870
20,40,20,40,16,10,377,434
21,83,15,60,-17,10,269,378
22,38,45,65,5,10,581,666
23,19,45,20,-11,10,0,971
24,71,45,10,6,10,409,494
25,98,55,5,11,10,206,325
26,94,65,35,2,10,704,847
27,58,65,20,6,10,817,956
28,14,45,30,19,10,0,978
29,31,35,40,9,10,104,255
30,39,41,37,-16,10,114,255
31,29,64,42,-9,10,190,313
32,51,40,60,-21,10,259,354
33,54,31,52,-27,10,0,972
34,47,35,69,16,10,660,777
35,69,53,52,-11,10,45,200
36,55,65,55,-14,10,0,953
37,48,63,65,1,10,686,813
38,22,2,60,-5,10,41,208
39,30,20,20,16,10,0,968
40,20,5,5,-16,10,302,405
41,101,60,12,-31,10,33,224
42,76,40,25,-9,10,360,437
43,59,42,7,7,10,396,511
44,56,24,12,-5,10,25,172
45,4,23,3,7,10,620,705
46,16,11,14,20,10,233,340
47,34,6,38,-16,10,29,189
48,37,2,48,-1,10,515,628
49,65,8,56,-27,10,85,250
50,70,13,52,-36,10,0,962
51,32,6,68,21,10,501,540
52,67,47,47,-13,10,0,973
53,13,49,58,12,10,348,453
54,33,27,43,27,10,0,978
55,36,37,31,14,10,414,489
56,44,57,29,5,10,641,734
57,10,63,23,9,10,620,739
58,27,53,12,-6,10,585,692
59,43,32,12,-7,10,421,530
60,77,36,26,18,10,849,980
61,93,21,24,-28,10,0,972
62,15,17,34,23,10,721,862
63,82,12,24,-13,10,290,377
64,85,24,58,11,10,163,302
65,49,27,69,27,10,34,191
66,9,15,77,-9,10,214,333
67,52,62,77,13,10,49,188
68,3,49,73,-25,10,592,693
69,35,67,5,11,10,294,401
70,50,56,39,36,10,637,752
71,24,37,47,-6,10,162,293
72,90,37,56,9,10,788,968
73,12,57,68,-15,10,268,367
74,95,47,16,-25,10,0,967
75,78,44,17,13,10,308,399
76,42,46,13,9,10,681,802
77,60,49,11,-18,10,0,962
78,75,49,42,-13,10,290,373
79,84,53,43,16,10,817,952
80,81,61,52,-3,10,384,499
81,80,57,48,3,10,388,465
82,63,56,37,13,10,839,968
83,21,55,54,17,10,411,456
84,79,15,47,-16,10,0,966
85,64,14,37,-11,10,0,968
86,100,11,31,10,10,436,511
87,17,16,22,-41,10,0,966
88,8,4,18,-35,10,388,465
89,91,28,18,-26,10,420,447
90,72,26,52,-9,10,279,388
91,89,26,35,26,10,755,920
92,11,31,67,16,10,392,487
93,61,15,19,28,10,0,964
94,26,22,22,-2,10,18,181
95,74,18,24,25,10,811,969
96,97,26,27,-27,10,0,977
97,96,25,24,27,10,0,975
98,25,22,27,-11,10,0,974
99,6,25,21,-12,10,612,673
100,86,19,21,-10,10,0,968
101,41,20,26,31,10,333,432
102,5,18,18,13,10,798,965
