in,jn,x,y,qc,tc,te,tl
3,105,25,85,-20,0,49,191
4,8,22,75,20,10,30,168
5,6,22,85,-10,10,95,152
6,5,20,80,10,10,69,193
7,47,20,85,-20,10,40,189
8,4,18,75,-20,10,60,159
9,106,15,75,-20,0,54,133
10,81,15,80,30,10,67,144
11,16,10,35,10,10,57,154
12,17,10,40,20,10,106,161
13,18,8,40,20,10,33,152
14,19,8,45,-20,10,32,148
15,49,5,35,10,10,53,191
16,11,5,45,-10,10,35,194
17,12,2,40,-20,10,39,163
18,13,0,40,-20,10,41,141
19,14,0,45,20,10,51,189
20,53,44,5,19,10,73,130
21,78,42,10,31,10,40,148
22,103,42,15,-10,0,94,179
23,26,40,5,10,10,45,161
24,25,40,15,-40,10,64,149
25,24,38,5,40,10,45,164
26,23,38,15,-10,10,51,194
27,79,35,5,-20,10,45,183
28,95,95,30,-30,10,90,169
29,33,95,35,-20,10,57,172
30,35,92,30,10,10,55,174
31,36,90,35,-10,10,52,174
32,34,88,30,10,10,52,147
33,29,88,35,20,10,50,172
34,32,87,30,-10,10,61,178
35,30,85,25,-10,10,51,178
36,31,85,35,10,10,83,168
37,42,67,85,30,10,57,185
38,44,65,85,10,10,43,186
39,45,65,82,20,10,95,182
40,41,62,80,-30,10,38,141
41,40,60,80,30,10,36,193
42,37,60,85,-30,10,61,138
43,46,58,75,-20,10,49,164
44,38,55,80,-10,10,33,180
45,39,55,85,-20,10,100,185
46,43,55,82,20,10,35,142
47,7,20,82,20,10,37,192
48,75,18,80,5,10,71,184
49,15,2,45,-10,10,38,191
50,68,42,5,-10,10,50,184
51,85,42,12,14,10,99,138
52,58,72,35,-30,10,83,178
53,20,55,20,-19,10,45,150
54,61,25,30,-3,10,25,150
55,62,20,50,-5,10,68,143
56,98,55,60,-16,10,107,200
57,92,30,60,6,10,95,214
58,52,50,35,30,10,91,198
59,67,30,25,16,10,56,165
60,76,15,10,-20,10,51,182
61,54,10,20,3,10,42,187
62,55,15,60,5,10,62,203
63,96,45,65,-9,10,37,124
64,69,65,35,9,10,29,168
65,93,65,20,-6,10,39,190
66,91,45,30,-17,10,20,139
67,59,35,40,-16,10,11,150
68,50,41,37,10,10,97,198
69,64,64,42,-9,10,31,138
70,71,40,60,27,10,101,216
71,70,31,52,-27,10,9,139
72,102,35,69,-23,10,30,210
73,74,65,55,-14,10,30,129
74,73,63,65,14,10,27,202
75,48,2,60,-5,10,46,137
76,60,20,20,20,10,71,193
77,99,5,5,35,10,57,165
78,21,60,12,-31,10,48,131
79,27,23,3,20,10,49,180
80,100,8,56,9,10,47,162
81,10,6,68,-30,10,65,142
82,86,47,47,18,10,93,222
83,90,49,58,19,10,78,123
84,88,27,43,-9,10,14,140
85,51,37,31,-14,10,19,172
86,82,57,29,-18,10,73,148
87,94,63,23,14,10,59,144
88,84,21,24,9,10,63,140
89,101,12,24,15,10,91,118
90,83,24,58,-19,10,27,136
91,66,67,5,17,10,52,177
92,57,37,47,-6,10,53,148
93,65,49,42,6,10,89,217
94,87,53,43,-14,10,14,177
95,28,61,52,30,10,50,208
96,63,57,48,9,10,76,143
97,104,56,37,-6,0,20,159
98,56,55,54,16,10,105,188
99,77,4,18,-35,10,104,165
100,80,26,52,-9,10,14,136
101,89,26,35,-15,10,42,141
102,72,31,67,23,10,43,210
103,22,42,15,10,10,94,179
104,97,56,37,6,10,20,159
105,3,25,85,20,10,49,191
106,9,15,75,20,10,54,133
