in,jn,x,y,qc,tc,te,tl
3,106,25,85,-20,0,130,190
4,7,22,75,-30,10,35,95
5,48,22,85,10,10,94,154
6,47,20,80,10,10,126,186
7,4,20,85,30,10,40,100
8,102,18,75,-20,10,80,140
9,10,15,75,10,10,64,124
10,9,15,80,-10,10,76,136
11,19,10,35,-20,10,76,136
12,55,10,40,5,10,104,164
13,60,8,40,-40,10,44,104
14,105,8,45,-20,0,49,109
15,71,5,35,27,10,127,187
16,76,5,45,-10,10,35,95
17,18,2,40,-20,10,43,103
18,17,0,40,20,10,57,117
19,11,0,45,20,10,129,189
20,50,44,5,-20,10,72,132
21,66,42,10,17,10,57,117
22,88,42,15,28,10,107,167
23,85,40,5,14,10,52,112
24,59,40,15,23,10,77,137
25,67,38,5,16,10,50,110
26,93,38,15,-10,10,133,193
27,79,35,5,-20,10,124,184
28,103,95,30,-30,0,100,160
29,30,95,35,-20,10,57,117
30,29,92,30,20,10,55,115
31,33,90,35,20,10,52,112
32,95,88,30,-10,10,59,119
33,31,88,35,-20,10,50,110
34,69,87,30,9,10,116,176
35,91,85,25,-10,10,51,111
36,52,85,35,-30,10,96,156
37,39,67,85,10,10,124,184
38,45,65,85,-40,10,43,103
39,37,65,82,-10,10,109,169
40,46,62,80,10,10,60,120
41,44,60,80,10,10,36,96
42,43,60,85,-30,10,70,130
43,42,58,75,30,10,77,137
44,41,55,80,-10,10,33,93
45,38,55,85,40,10,113,173
46,40,55,82,-10,10,49,109
47,6,20,82,-10,10,37,97
48,5,18,80,-10,10,98,158
49,80,2,45,-10,10,38,98
50,20,42,5,20,10,124,184
51,101,42,12,15,10,89,149
52,36,72,35,30,10,101,161
53,104,55,20,-19,0,68,128
54,84,25,30,9,10,37,97
55,12,20,50,-5,10,76,136
56,70,55,60,-16,10,124,184
57,108,30,60,-16,0,125,185
58,78,50,35,31,10,115,175
59,24,30,25,-23,10,81,141
60,13,15,10,40,10,122,182
61,99,10,20,-19,10,42,102
62,72,15,60,-17,10,140,200
63,83,45,65,-9,10,51,111
64,97,65,35,6,10,37,97
65,68,65,20,-6,10,39,99
66,21,45,30,-17,10,38,98
67,25,35,40,-16,10,11,71
68,65,41,37,6,10,118,178
69,34,64,42,-9,10,55,115
70,56,40,60,16,10,129,189
71,15,31,52,-27,10,26,86
72,62,35,69,17,10,150,210
73,74,65,55,8,10,50,110
74,73,63,65,-8,10,27,87
75,81,2,60,-5,10,62,122
76,16,20,20,10,10,126,186
77,89,5,5,13,10,59,119
78,58,60,12,-31,10,60,120
79,27,23,3,20,10,120,180
80,49,8,56,10,10,75,135
81,75,6,68,5,10,74,134
82,107,47,47,-13,0,162,222
83,63,49,58,9,10,71,131
84,54,27,43,-9,10,27,87
85,23,37,31,-14,10,20,80
86,87,57,29,2,10,81,141
87,86,63,23,-2,10,72,132
88,22,21,24,-28,10,72,132
89,77,12,24,-13,10,75,135
90,100,24,58,9,10,52,112
91,35,67,5,10,10,117,177
92,96,37,47,-6,10,71,131
93,26,49,42,10,10,152,212
94,98,53,43,-14,10,14,74
95,32,61,52,10,10,148,208
96,92,57,48,6,10,80,140
97,64,56,37,-6,10,20,80
98,94,55,54,14,10,117,177
99,61,4,18,19,10,105,165
100,90,26,52,-9,10,31,91
101,51,26,35,-15,10,62,122
102,8,31,67,20,10,150,210
103,28,95,30,30,10,100,160
104,53,55,20,19,10,68,128
105,14,8,45,20,10,49,109
106,3,25,85,20,10,130,190
107,82,47,47,13,10,162,222
108,57,30,60,16,10,125,185
