in,jn,x,y,q,tc,te,tl
2,0,41,49,10,10,707,848
3,0,35,17,7,10,143,282
4,0,55,45,13,10,527,584
5,0,55,20,19,10,678,801
6,0,15,30,26,10,34,209
7,0,25,30,3,10,415,514
8,0,20,50,5,10,331,410
9,0,10,43,9,10,404,481
10,0,55,60,16,10,400,497
11,0,30,60,16,10,577,632
12,0,20,65,12,10,206,325
13,0,50,35,19,10,228,345
14,0,30,25,23,10,690,827
15,0,15,10,20,10,32,243
16,0,30,5,8,10,175,300
17,0,10,20,19,10,272,373
18,0,5,30,2,10,733,870
19,0,20,40,12,10,377,434
20,0,15,60,17,10,269,378
21,0,45,65,9,10,581,666
22,0,45,20,11,10,214,331
23,0,45,10,18,10,409,494
24,0,55,5,29,10,206,325
25,0,65,35,3,10,704,847
26,0,65,20,6,10,817,956
27,0,45,30,17,10,588,667
28,0,35,40,16,10,104,255
29,0,41,37,16,10,114,255
30,0,64,42,9,10,190,313
31,0,40,60,21,10,259,354
32,0,31,52,27,10,152,275
33,0,35,69,23,10,660,777
34,0,53,52,11,10,45,200
35,0,65,55,14,10,529,614
36,0,63,65,8,10,686,813
37,0,2,60,5,10,41,208
38,0,20,20,8,10,606,693
39,0,5,5,16,10,302,405
40,0,60,12,31,10,33,224
41,0,40,25,9,10,360,437
42,0,42,7,5,10,396,511
43,0,24,12,5,10,25,172
44,0,23,3,7,10,620,705
45,0,11,14,18,10,233,340
46,0,6,38,16,10,29,189
47,0,2,48,1,10,515,628
48,0,8,56,27,10,85,250
49,0,13,52,36,10,773,906
50,0,6,68,30,10,501,540
51,0,47,47,13,10,547,642
52,0,49,58,10,10,348,453
53,0,27,43,9,10,174,299
54,0,37,31,14,10,414,489
55,0,57,29,18,10,641,734
56,0,63,23,2,10,620,739
57,0,53,12,6,10,585,692
58,0,32,12,7,10,421,530
59,0,36,26,18,10,849,980
60,0,21,24,28,10,17,229
61,0,17,34,3,10,721,862
62,0,12,24,13,10,290,377
63,0,24,58,19,10,163,302
64,0,27,69,10,10,34,191
65,0,15,77,9,10,214,333
66,0,62,77,20,10,49,188
67,0,49,73,25,10,592,693
68,0,67,5,25,10,294,401
69,0,56,39,36,10,637,752
70,0,37,47,6,10,162,293
71,0,37,56,5,10,788,968
72,0,57,68,15,10,268,367
73,0,47,16,25,10,31,208
74,0,44,17,9,10,308,399
75,0,46,13,8,10,681,802
76,0,49,11,18,10,236,345
77,0,49,42,13,10,290,373
78,0,53,43,14,10,817,952
79,0,61,52,3,10,384,499
80,0,57,48,23,10,388,465
81,0,56,37,6,10,839,968
82,0,55,54,26,10,411,456
83,0,15,47,16,10,162,289
84,0,14,37,11,10,96,249
85,0,11,31,7,10,436,511
86,0,16,22,41,10,376,461
87,0,4,18,35,10,388,465
88,0,28,18,26,10,420,447
89,0,26,52,9,10,279,388
90,0,26,35,15,10,755,920
91,0,31,67,3,10,392,487
92,0,15,19,1,10,739,866
93,0,22,22,2,10,18,181
94,0,18,24,22,10,811,969
95,0,26,27,27,10,436,503
96,0,25,24,20,10,92,231
97,0,22,27,11,10,607,690
98,0,25,21,12,10,612,673
99,0,19,21,10,10,183,306
100,0,20,26,9,10,333,432
101,0,18,18,17,10,798,965
