in,jn,x,y,qc,tc,te,tl
3,77,45,68,-10,90,760,1120
4,11,45,70,10,90,668,1028
5,7,42,66,10,90,16,376
6,9,42,68,20,90,575,935
7,5,42,65,-10,90,15,375
8,13,40,69,10,90,482,842
9,6,40,66,-20,90,18,378
10,12,38,68,-20,90,110,470
11,4,38,70,-10,90,390,750
12,10,35,66,20,90,204,564
13,8,35,69,-10,90,297,657
14,21,25,85,10,90,507,867
15,16,22,75,-30,90,30,390
16,15,22,85,30,90,414,774
17,19,20,80,20,90,227,587
18,20,20,85,20,90,322,682
19,17,18,75,-20,90,33,393
20,18,15,75,-20,90,37,397
21,14,15,80,-10,90,132,492
22,26,30,50,-10,90,10,370
23,25,30,52,10,90,760,1120
24,30,28,52,20,90,668,1028
25,23,28,55,-10,90,575,935
26,22,25,50,10,90,15,375
27,32,25,52,-40,90,17,377
28,31,25,55,10,90,482,842
29,107,23,52,-10,0,109,469
30,24,23,55,-20,90,390,750
31,28,20,50,-10,90,202,562
32,27,20,55,40,90,297,657
33,35,10,35,40,90,39,399
34,39,10,40,-30,90,31,391
35,33,8,40,-40,90,33,393
36,40,8,45,30,90,604,964
37,41,5,35,-10,90,134,494
38,105,5,45,-10,0,511,871
39,34,2,40,30,90,229,589
40,36,0,40,-30,90,321,681
41,37,0,45,10,90,416,776
42,43,35,30,10,90,113,473
43,42,35,32,-10,90,21,381
44,45,33,32,10,90,19,379
45,44,33,35,-10,90,16,376
46,47,32,30,-10,90,206,566
47,46,30,30,10,90,391,751
48,53,30,32,-30,90,299,659
49,52,30,35,10,90,767,1127
50,108,28,30,-10,0,483,843
51,54,28,35,10,90,766,1126
52,49,26,32,-10,90,668,1028
53,48,25,30,30,90,576,936
54,51,25,35,-10,90,761,1121
55,60,44,5,-20,90,137,497
56,58,42,10,-40,90,42,402
57,59,42,15,40,90,35,395
58,56,40,5,40,90,231,591
59,57,40,15,-40,90,35,395
60,55,38,5,20,90,323,683
61,62,38,15,20,90,516,876
62,61,35,5,-20,90,416,776
63,71,50,30,-10,90,391,751
64,67,50,35,10,90,110,470
65,76,50,40,-50,90,15,375
66,69,48,30,10,90,483,843
67,64,48,40,-10,90,12,372
68,70,47,35,10,90,671,1031
69,66,47,40,-10,90,12,372
70,68,45,30,-10,90,576,936
71,63,45,35,10,90,763,1123
72,75,95,30,-30,90,242,602
73,78,95,35,10,90,147,507
74,103,53,30,-10,0,298,658
75,72,92,30,30,90,335,695
76,65,53,35,50,90,203,563
77,3,45,65,10,90,770,1130
78,73,90,35,-10,90,52,412
79,104,88,30,-10,0,429,789
80,83,88,35,30,90,50,410
81,82,87,30,-10,90,520,880
82,81,85,25,10,90,615,975
83,80,85,35,-30,90,47,407
84,85,75,55,10,90,215,575
85,84,72,55,-10,90,122,482
86,88,70,58,10,90,311,671
87,93,68,60,-30,90,404,764
88,86,66,55,-10,90,26,386
89,91,65,55,-20,90,25,385
90,92,65,60,10,90,497,857
91,89,63,58,20,90,590,950
92,90,60,55,-10,90,20,380
93,87,60,60,30,90,683,1043
94,102,67,85,-20,90,225,585
95,100,65,85,20,90,317,677
96,97,65,82,30,90,131,491
97,96,62,80,-30,90,38,398
98,106,60,80,-10,0,36,396
99,101,60,85,-30,90,412,772
100,95,58,75,-20,90,30,390
101,99,55,80,30,90,602,962
102,94,55,85,20,90,507,867
103,74,53,30,10,90,298,658
104,79,88,30,10,90,429,789
105,38,5,45,10,90,511,871
106,98,60,80,10,90,36,396
107,29,23,52,10,90,109,469
108,50,28,30,10,90,483,843
