in,jn,x,y,qc,tc,te,tl
3,22,41,49,9,10,707,848
4,74,35,17,-7,10,143,282
5,32,55,45,21,10,527,584
6,76,55,20,8,10,678,801
7,9,15,30,-26,10,34,209
8,61,25,30,28,10,415,514
9,7,20,50,26,10,331,410
10,20,10,43,-9,10,404,481
11,71,55,60,6,10,400,497
12,72,30,60,-16,10,577,632
13,84,20,65,16,10,206,325
14,73,50,35,-19,10,228,345
15,45,30,25,7,10,690,827
16,101,15,10,-20,10,32,243
17,99,30,5,-8,10,175,300
18,60,10,20,-19,10,272,373
19,51,5,30,30,10,733,870
20,10,20,40,9,10,377,434
21,64,15,60,-17,10,269,378
22,3,45,65,-9,10,581,666
23,58,45,20,-11,10,214,331
24,57,45,10,-18,10,409,494
25,43,55,5,-29,10,206,325
26,70,65,35,36,10,704,847
27,103,65,20,-6,0,817,956
28,89,45,30,26,10,588,667
29,54,35,40,9,10,104,255
30,81,41,37,-16,10,114,255
31,83,64,42,-9,10,190,313
32,5,40,60,-21,10,259,354
33,80,31,52,-27,10,152,275
34,52,35,69,13,10,660,777
35,65,53,52,-11,10,45,200
36,78,65,55,13,10,529,614
37,68,63,65,25,10,686,813
38,49,2,60,27,10,41,208
39,102,20,20,-8,10,606,693
40,98,5,5,-16,10,302,405
41,69,60,12,-31,10,33,224
42,55,40,25,-9,10,360,437
43,25,42,7,29,10,396,511
44,94,24,12,2,10,25,172
45,15,23,3,-7,10,620,705
46,88,11,14,-18,10,233,340
47,66,6,38,-16,10,29,189
48,90,2,48,9,10,515,628
49,38,8,56,-27,10,85,250
50,62,13,52,-36,10,773,906
51,19,6,68,-30,10,501,540
52,34,47,47,-13,10,547,642
53,67,49,58,20,10,348,453
54,29,27,43,-9,10,174,299
55,42,37,31,9,10,414,489
56,75,57,29,9,10,641,734
57,24,63,23,18,10,620,739
58,23,53,12,11,10,585,692
59,77,32,12,18,10,421,530
60,18,36,26,19,10,849,980
61,8,21,24,-28,10,17,229
62,50,17,34,36,10,721,862
63,100,12,24,10,10,290,377
64,21,24,58,17,10,163,302
65,35,27,69,11,10,34,191
66,47,15,77,16,10,214,333
67,53,62,77,-20,10,49,188
68,37,49,73,-25,10,592,693
69,41,67,5,31,10,294,401
70,26,56,39,-36,10,637,752
71,11,37,47,-6,10,162,293
72,12,37,56,16,10,788,968
73,14,57,68,19,10,268,367
74,4,47,16,7,10,31,208
75,56,44,17,-9,10,308,399
76,6,46,13,-8,10,681,802
77,59,49,11,-18,10,236,345
78,36,49,42,-13,10,290,373
79,82,53,43,6,10,817,952
80,33,61,52,27,10,384,499
81,30,57,48,16,10,388,465
82,79,56,37,-6,10,839,968
83,31,55,54,9,10,411,456
84,13,15,47,-16,10,162,289
85,92,14,37,-11,10,96,249
86,104,11,31,-7,0,436,511
87,97,16,22,20,10,376,461
88,46,4,18,18,10,388,465
89,28,28,18,-26,10,420,447
90,48,26,52,-9,10,279,388
91,95,26,35,22,10,755,920
92,85,31,67,11,10,392,487
93,96,15,19,27,10,739,866
94,44,22,22,-2,10,18,181
95,91,18,24,-22,10,811,969
96,93,26,27,-27,10,436,503
97,87,25,24,-20,10,92,231
98,40,22,27,16,10,607,690
99,17,25,21,8,10,612,673
100,63,19,21,-10,10,183,306
101,16,20,26,20,10,333,432
102,39,18,18,8,10,798,965
103,27,65,20,6,10,817,956
104,86,11,31,7,10,436,511
