in,jn,x,y,q,tc,te,tl
2,0,363,779,5,10,0,0
3,0,245,896,7,10,0,0
4,0,238,19,5,10,0,0
5,0,184,351,8,10,0,0
6,0,305,763,7,10,0,0
7,0,366,814,8,10,0,0
8,0,137,857,7,10,0,0
9,0,564,31,9,10,0,0
10,0,303,157,7,10,0,0
11,0,523,830,6,10,0,0
12,0,134,231,7,10,0,0
13,0,851,445,8,10,0,0
14,0,740,311,6,10,0,0
15,0,163,95,9,10,0,0
16,0,275,499,8,10,0,0
17,0,470,814,8,10,0,0
18,0,453,217,9,10,0,0
19,0,818,525,6,10,0,0
20,0,311,911,8,10,0,0
21,0,177,374,5,10,0,0
22,0,230,4,6,10,0,0
23,0,590,302,7,10,0,0
24,0,196,103,7,10,0,0
25,0,553,879,6,10,0,0
26,0,316,446,9,10,0,0
27,0,665,375,6,10,0,0
28,0,587,609,7,10,0,0
29,0,510,95,10,10,0,0
30,0,907,455,9,10,0,0
31,0,805,956,5,10,0,0
32,0,342,345,10,10,0,0
33,0,785,309,10,10,0,0
34,0,649,584,9,10,0,0
35,0,850,24,5,10,0,0
36,0,26,126,7,10,0,0
37,0,447,817,6,10,0,0
38,0,145,527,9,10,0,0
39,0,218,825,8,10,0,0
40,0,405,151,9,10,0,0
41,0,389,436,6,10,0,0
42,0,452,619,5,10,0,0
43,0,407,367,8,10,0,0
44,0,948,514,6,10,0,0
45,0,836,996,5,10,0,0
46,0,578,334,5,10,0,0
47,0,491,929,5,10,0,0
48,0,325,696,7,10,0,0
49,0,838,842,5,10,0,0
50,0,983,788,7,10,0,0
51,0,623,549,7,10,0,0
52,0,915,72,8,10,0,0
53,0,774,336,9,10,0,0
54,0,81,238,10,10,0,0
55,0,534,537,5,10,0,0
56,0,295,406,10,10,0,0
57,0,853,358,10,10,0,0
58,0,742,581,9,10,0,0
59,0,32,964,8,10,0,0
60,0,747,352,9,10,0,0
61,0,610,799,7,10,0,0
62,0,786,853,10,10,0,0
63,0,506,168,10,10,0,0
64,0,755,957,6,10,0,0
65,0,408,67,9,10,0,0
66,0,485,734,8,10,0,0
67,0,419,256,9,10,0,0
68,0,508,155,7,10,0,0
69,0,941,589,5,10,0,0
70,0,68,42,8,10,0,0
71,0,817,595,10,10,0,0
72,0,397,274,9,10,0,0
73,0,727,302,7,10,0,0
74,0,216,237,8,10,0,0
75,0,821,320,9,10,0,0
76,0,516,531,5,10,0,0
77,0,614,163,10,10,0,0
78,0,561,920,8,10,0,0
79,0,128,834,9,10,0,0
80,0,162,534,9,10,0,0
81,0,279,644,8,10,0,0
82,0,188,329,9,10,0,0
83,0,520,301,8,10,0,0
84,0,336,782,10,10,0,0
85,0,728,230,5,10,0,0
86,0,139,848,10,10,0,0
87,0,350,154,6,10,0,0
88,0,242,162,10,10,0,0
89,0,791,925,7,10,0,0
90,0,907,497,8,10,0,0
91,0,52,593,5,10,0,0
92,0,786,457,7,10,0,0
93,0,629,745,7,10,0,0
94,0,935,439,5,10,0,0
95,0,641,78,5,10,0,0
96,0,78,835,7,10,0,0
97,0,232,226,5,10,0,0
98,0,123,479,9,10,0,0
99,0,205,840,6,10,0,0
100,0,932,357,10,10,0,0
101,0,917,917,5,10,0,0
102,0,325,559,7,10,0,0
103,0,413,373,5,10,0,0
104,0,362,477,5,10,0,0
105,0,827,881,6,10,0,0
106,0,845,263,5,10,0,0
107,0,11,938,9,10,0,0
108,0,88,535,7,10,0,0
109,0,436,200,6,10,0,0
110,0,940,319,8,10,0,0
111,0,325,59,7,10,0,0
112,0,34,264,6,10,0,0
113,0,47,470,6,10,0,0
114,0,322,89,6,10,0,0
115,0,757,29,9,10,0,0
116,0,825,289,7,10,0,0
117,0,287,304,8,10,0,0
118,0,657,82,9,10,0,0
119,0,288,406,9,10,0,0
120,0,287,623,8,10,0,0
121,0,616,828,8,10,0,0
122,0,60,445,9,10,0,0
123,0,978,511,5,10,0,0
124,0,956,171,10,10,0,0
125,0,818,184,5,10,0,0
126,0,605,464,6,10,0,0
127,0,462,934,10,10,0,0
128,0,563,229,7,10,0,0
129,0,506,33,10,10,0,0
130,0,599,895,8,10,0,0
131,0,364,90,9,10,0,0
132,0,504,28,5,10,0,0
133,0,304,854,10,10,0,0
134,0,525,226,5,10,0,0
135,0,753,926,9,10,0,0
136,0,544,127,5,10,0,0
137,0,343,127,10,10,0,0
138,0,422,270,5,10,0,0
139,0,472,104,9,10,0,0
140,0,453,844,10,10,0,0
141,0,493,36,9,10,0,0
142,0,526,137,9,10,0,0
143,0,230,995,8,10,0,0
144,0,675,278,7,10,0,0
145,0,495,428,10,10,0,0
146,0,535,57,5,10,0,0
147,0,684,158,5,10,0,0
148,0,446,37,8,10,0,0
149,0,507,67,7,10,0,0
150,0,654,332,8,10,0,0
151,0,585,226,6,10,0,0
152,0,526,932,9,10,0,0
153,0,479,288,6,10,0,0
154,0,708,108,7,10,0,0
155,0,588,159,9,10,0,0
156,0,473,898,9,10,0,0
157,0,618,85,5,10,0,0
158,0,433,373,10,10,0,0
159,0,409,207,5,10,0,0
160,0,488,29,8,10,0,0
161,0,531,204,6,10,0,0
162,0,546,212,7,10,0,0
