in,jn,x,y,qc,tc,te,tl
3,82,52,75,-10,90,311,471
4,96,45,70,-30,90,213,373
5,92,62,69,-10,90,1167,1327
6,99,60,66,30,90,1261,1421
7,79,42,65,-10,90,25,185
8,34,16,42,-20,90,497,657
9,94,58,70,20,90,1073,1233
10,23,34,60,-20,90,2887,3047
11,12,28,70,-10,90,2601,2761
12,11,35,66,10,90,2791,2951
13,17,35,69,40,90,2698,2858
14,18,25,85,40,90,2119,2279
15,31,22,75,10,90,2405,2565
16,32,22,85,10,90,2026,2186
17,13,20,80,-40,90,2216,2376
18,14,20,85,-40,90,1934,2094
19,25,18,75,10,90,2311,2471
20,21,15,75,-20,90,1742,1902
21,20,15,80,20,90,1837,1997
22,29,30,50,-10,90,10,170
23,10,30,56,20,90,2983,3143
24,26,28,52,-20,90,22,182
25,19,14,66,-10,90,1643,1803
26,24,25,50,20,90,116,276
27,35,22,66,40,90,2504,2664
28,103,8,62,-10,0,1545,1705
29,22,23,52,10,90,209,369
30,39,4,55,20,90,1447,1607
31,15,20,50,-10,90,398,558
32,16,20,55,-10,90,303,463
33,38,10,35,-20,90,781,941
34,8,10,40,20,90,593,753
35,27,8,40,-40,90,685,845
36,40,8,45,30,90,1346,1506
37,41,5,35,-10,90,876,1036
38,33,5,45,20,90,1253,1413
39,30,2,40,-20,90,971,1131
40,36,0,40,-30,90,1063,1223
41,37,0,45,10,90,1158,1318
42,52,36,18,-10,90,1819,1979
43,48,35,32,30,90,2758,2918
44,45,33,32,10,90,2666,2826
45,44,33,35,-10,90,2573,2733
46,57,32,20,10,90,1913,2073
47,63,30,30,10,90,2105,2265
48,43,34,25,-30,90,2009,2169
49,50,30,35,-10,90,2480,2640
50,49,36,40,10,90,2856,3016
51,71,48,20,10,90,967,1127
52,42,26,32,10,90,2292,2452
53,76,25,30,50,90,2200,2360
54,55,25,35,20,90,2385,2545
55,54,44,5,-20,90,1256,1416
56,74,42,10,10,90,1160,1320
57,46,42,15,-10,90,1065,1225
58,62,40,5,-30,90,1350,1510
59,66,38,15,10,90,1725,1885
60,67,38,5,10,90,1442,1602
61,64,38,10,20,90,1630,1790
62,58,35,5,30,90,1535,1695
63,47,50,30,-10,90,401,561
64,61,50,35,-20,90,120,280
65,68,50,40,-50,90,25,185
66,59,48,30,-10,90,493,653
67,60,44,25,-10,90,871,1031
68,65,47,35,50,90,588,748
69,70,47,40,-10,90,12,172
70,69,42,30,10,90,776,936
71,51,45,35,-10,90,680,840
72,75,95,30,-30,90,2321,2481
73,90,95,35,30,90,2226,2386
74,56,53,30,-10,90,308,468
75,72,92,30,30,90,2414,2574
76,53,53,35,-50,90,213,373
77,80,45,65,-20,90,118,278
78,93,90,35,10,90,2131,2291
79,7,72,45,10,90,2900,3060
80,77,78,40,20,90,2802,2962
81,97,87,30,30,90,2608,2768
82,3,85,25,10,90,2513,2673
83,89,85,35,-30,90,2703,2863
84,104,75,55,-20,0,1925,2085
85,100,72,55,20,90,1832,1992
86,87,70,58,-20,90,1641,1801
87,86,86,46,20,90,2029,2189
88,101,66,55,10,90,1736,1896
89,83,64,46,30,90,3097,3257
90,73,65,60,-30,90,1546,1706
91,98,56,64,-10,90,1355,1515
92,5,60,55,10,90,3119,3279
93,78,60,60,-10,90,1451,1611
94,9,67,85,-20,90,694,854
95,102,42,58,-40,90,8,168
96,4,65,82,30,90,788,948
97,81,62,80,-30,90,881,1041
98,91,62,40,10,90,3001,3161
99,6,60,85,-30,90,597,757
100,85,58,75,-20,90,978,1138
101,88,55,80,-10,90,407,567
102,95,55,85,40,90,502,662
103,28,8,62,10,90,1545,1705
104,84,75,55,20,90,1925,2085
