in,jn,x,y,qc,tc,te,tl
3,107,25,85,-20,0,145,175
4,47,22,75,10,10,50,80
5,10,22,85,10,10,109,139
6,7,20,80,20,10,141,171
7,6,20,85,-20,10,41,71
8,9,18,75,20,10,95,125
9,8,15,75,-20,10,79,109
10,5,15,80,-10,10,91,121
11,15,10,35,-20,10,91,121
12,19,10,40,-30,10,119,149
13,17,8,40,-40,10,59,89
14,48,8,45,-20,10,64,94
15,11,5,35,20,10,142,172
16,49,5,45,-10,10,35,65
17,13,2,40,40,10,58,88
18,84,0,40,9,10,72,102
19,12,0,45,30,10,149,179
20,21,44,5,40,10,87,117
21,20,42,10,-40,10,72,102
22,51,42,15,10,10,122,152
23,25,40,5,30,10,67,97
24,26,40,15,-40,10,92,122
25,23,38,5,-30,10,65,95
26,24,38,15,40,10,148,178
27,103,35,5,-20,0,154,184
28,30,95,30,10,10,115,145
29,93,95,35,-20,10,62,92
30,28,92,30,-10,10,62,92
31,95,90,35,-10,10,67,97
32,34,88,30,-10,10,74,104
33,91,88,35,-20,10,61,91
34,32,87,30,10,10,131,161
35,36,85,25,-10,10,51,81
36,35,85,35,10,10,111,141
37,42,67,85,30,10,139,169
38,74,65,85,8,10,43,73
39,43,65,82,20,10,124,154
40,45,62,80,-30,10,75,105
41,56,60,80,-10,10,37,67
42,37,60,85,-30,10,85,115
43,39,58,75,-20,10,92,122
44,46,55,80,-10,10,33,63
45,40,55,85,30,10,128,158
46,44,55,82,10,10,64,94
47,4,20,82,-10,10,37,67
48,14,18,80,20,10,113,143
49,16,2,45,10,10,45,75
50,85,42,5,14,10,151,181
51,22,42,12,-10,10,104,134
52,82,72,35,-30,10,116,146
53,65,55,20,6,10,83,113
54,59,25,30,-3,10,52,82
55,102,20,50,-5,10,91,121
56,41,55,60,10,10,139,169
57,81,30,60,30,10,140,170
58,92,50,35,6,10,130,160
59,54,30,25,3,10,96,126
60,77,15,10,16,10,152,182
61,99,10,20,-19,10,42,72
62,72,15,60,-17,10,155,185
63,70,45,65,-9,10,66,96
64,96,65,35,-3,10,52,82
65,53,65,20,-6,10,39,69
66,105,45,30,-17,0,53,83
67,76,35,40,-16,10,11,41
68,86,41,37,18,10,133,163
69,73,64,42,-9,10,70,100
70,63,40,60,9,10,144,174
71,80,31,52,-27,10,41,71
72,62,35,69,17,10,180,210
73,69,65,55,9,10,65,95
74,38,63,65,-8,10,30,60
75,108,2,60,-5,0,77,107
76,67,20,20,16,10,141,171
77,60,5,5,-16,10,74,104
78,106,60,12,-31,0,75,105
79,89,23,3,13,10,150,180
80,71,8,56,27,10,90,120
81,57,6,68,-30,10,89,119
82,52,47,47,30,10,192,222
83,98,49,58,-10,10,86,116
84,18,27,43,-9,10,42,72
85,50,37,31,-14,10,35,65
86,68,57,29,-18,10,96,126
87,104,63,23,-2,0,87,117
88,101,21,24,15,10,87,117
89,79,12,24,-13,10,90,120
90,100,24,58,9,10,67,97
91,33,67,5,20,10,144,174
92,58,37,47,-6,10,86,116
93,29,49,42,20,10,167,197
94,97,53,43,-14,10,14,44
95,31,61,52,10,10,178,208
96,64,57,48,3,10,95,125
97,94,56,37,14,10,34,64
98,83,55,54,10,10,132,162
99,61,4,18,19,10,120,150
100,90,26,52,-9,10,46,76
101,88,26,35,-15,10,77,107
102,55,31,67,5,10,180,210
103,27,35,5,20,10,154,184
104,87,63,23,2,10,87,117
105,66,45,30,17,10,53,83
106,78,60,12,31,10,75,105
107,3,25,85,20,10,145,175
108,75,2,60,5,10,77,107
