in,jn,x,y,qc,tc,te,tl
3,77,45,68,-10,90,0,1127
4,6,45,70,10,90,0,1125
5,10,42,66,-10,90,0,1129
6,4,42,68,-10,90,727,782
7,13,42,65,-10,90,0,1130
8,12,40,69,10,90,621,702
9,11,40,66,-20,90,0,1130
10,5,38,68,10,90,255,324
11,9,38,70,20,90,534,605
12,8,35,66,-10,90,357,410
13,7,35,69,10,90,448,505
14,15,25,85,30,90,0,1107
15,14,22,75,-30,90,30,92
16,17,22,85,40,90,0,1106
17,16,20,80,-40,90,384,429
18,20,20,85,20,90,0,1105
19,21,18,75,-20,90,99,148
20,18,15,75,-20,90,0,1110
21,19,15,80,20,90,0,1106
22,26,30,50,-10,90,0,1136
23,24,30,52,20,90,0,1135
24,23,28,52,-20,90,812,883
25,27,28,55,40,90,732,777
26,22,25,50,10,90,0,1131
27,25,25,52,-40,90,169,224
28,105,25,55,-10,0,0,1130
29,32,23,52,-10,90,261,316
30,31,23,55,10,90,0,1128
31,30,20,50,-10,90,0,1126
32,29,20,55,10,90,449,504
33,40,10,35,-20,90,0,1112
34,35,10,40,-30,90,0,1114
35,34,8,40,30,90,87,158
36,38,8,45,10,90,0,1113
37,106,5,35,-10,0,283,344
38,36,5,45,-10,90,665,716
39,41,2,40,-20,90,0,1106
40,33,0,40,20,90,479,522
41,39,0,45,20,90,567,624
42,50,35,30,-10,90,264,321
43,46,35,32,-10,90,166,235
44,51,33,32,-20,90,68,149
45,53,33,35,-10,90,0,1129
46,43,32,30,10,90,359,412
47,52,30,30,-10,90,541,600
48,103,30,32,-30,0,0,1125
49,54,30,35,10,90,0,1127
50,42,28,30,10,90,0,1122
51,44,28,35,20,90,1001,1066
52,47,26,32,10,90,0,1123
53,45,25,30,10,90,0,1121
54,49,25,35,-10,90,0,1124
55,59,44,5,40,90,286,347
56,58,42,10,-40,90,0,1105
57,61,42,15,-10,90,95,158
58,56,40,5,40,90,385,436
59,55,40,15,-40,90,0,1111
60,62,38,5,-30,90,471,534
61,57,38,15,10,90,0,1110
62,60,35,5,30,90,0,1100
63,68,50,30,-10,90,0,1123
64,76,50,35,-20,90,262,317
65,81,50,40,10,90,0,1131
66,71,48,30,-10,90,632,693
67,69,48,40,10,90,76,129
68,63,47,35,10,90,826,875
69,67,47,40,-10,90,12,77
70,74,45,30,10,90,734,777
71,66,45,35,10,90,916,969
72,82,95,30,-30,90,387,456
73,75,95,35,-20,90,0,1088
74,70,53,30,-10,90,0,1122
75,73,92,30,20,90,0,1090
76,64,53,35,20,90,353,412
77,3,45,65,10,90,0,1130
78,79,90,35,-10,90,203,260
79,78,88,30,10,90,574,643
80,83,88,35,30,90,109,170
81,65,87,30,-10,90,668,731
82,72,85,25,30,90,769,820
83,80,85,35,-30,90,0,1098
84,85,75,55,10,90,0,1110
85,84,72,55,-10,90,0,1113
86,92,70,58,10,90,458,523
87,93,68,60,-30,90,0,1116
88,91,66,55,-10,90,0,1119
89,90,65,55,-20,90,85,144
90,89,65,60,20,90,645,708
91,88,63,58,10,90,0,1121
92,86,60,55,-10,90,0,1125
93,87,60,60,30,90,0,1123
94,100,67,85,20,90,368,441
95,104,65,85,-40,0,475,518
96,101,65,82,-10,90,0,1105
97,98,62,80,10,90,0,1108
98,97,60,80,-10,90,0,1109
99,102,60,85,-30,90,0,1105
100,94,58,75,-20,90,0,1115
101,96,55,80,10,90,743,820
102,99,55,85,30,90,647,726
103,48,30,32,30,90,0,1125
104,95,65,85,40,90,475,518
105,28,25,55,10,90,0,1130
106,37,5,35,10,90,283,344
