in,jn,x,y,qc,tc,te,tl
3,4,45,68,30,90,0,1127
4,3,45,70,-30,90,0,1125
5,10,42,66,-10,90,0,1129
6,9,42,68,20,90,727,782
7,11,42,65,-10,90,0,1130
8,13,40,69,10,90,0,1127
9,6,40,66,-20,90,0,1130
10,5,38,68,10,90,255,324
11,7,38,70,10,90,534,605
12,14,35,66,20,90,0,1129
13,8,35,69,-10,90,448,505
14,12,25,85,-20,90,0,1107
15,18,22,75,-30,90,30,92
16,104,22,85,-10,0,0,1106
17,21,20,80,10,90,384,429
18,15,20,85,30,90,0,1105
19,20,18,75,-20,90,0,1112
20,19,15,75,20,90,0,1110
21,17,15,80,-10,90,0,1106
22,27,30,50,-10,90,0,1136
23,32,30,52,10,90,0,1135
24,28,28,52,10,90,0,1133
25,30,28,55,20,90,732,777
26,103,25,50,-10,0,0,1131
27,22,25,52,10,90,169,224
28,24,25,55,-10,90,0,1130
29,31,23,52,-10,90,0,1128
30,25,23,55,-20,90,0,1128
31,29,20,50,10,90,0,1126
32,23,20,55,-10,90,0,1125
33,40,10,35,-20,90,0,1112
34,39,10,40,-30,90,0,1114
35,105,8,40,-40,0,0,1112
36,38,8,45,10,90,0,1113
37,41,5,35,-10,90,0,1107
38,36,5,45,-10,90,0,1110
39,34,2,40,30,90,0,1106
40,33,0,40,20,90,479,522
41,37,0,45,10,90,0,1105
42,48,35,30,-10,90,0,1125
43,45,35,32,10,90,0,1127
44,54,33,32,-20,90,0,1126
45,43,33,35,-10,90,0,1129
46,50,32,30,-10,90,359,412
47,53,30,30,-10,90,0,1123
48,42,30,32,10,90,0,1125
49,107,30,35,-10,0,0,1127
50,46,28,30,10,90,0,1122
51,52,28,35,10,90,0,1126
52,51,26,32,-10,90,0,1123
53,47,25,30,10,90,0,1121
54,44,25,35,20,90,0,1124
55,61,44,5,-20,90,286,347
56,57,42,10,10,90,0,1105
57,56,42,15,-10,90,95,158
58,59,40,5,40,90,0,1101
59,58,40,15,-40,90,0,1111
60,62,38,5,-30,90,471,534
61,55,38,15,20,90,0,1110
62,60,35,5,30,90,0,1100
63,68,50,30,-10,90,0,1123
64,71,50,35,-20,90,262,317
65,82,50,40,10,90,0,1131
66,74,48,30,10,90,0,1124
67,76,48,40,-10,90,0,1133
68,63,47,35,10,90,0,1129
69,70,47,40,-10,90,12,77
70,69,45,30,10,90,0,1125
71,64,45,35,20,90,916,969
72,80,95,30,20,90,0,1087
73,83,95,35,30,90,0,1088
74,66,53,30,-10,90,0,1122
75,78,92,30,10,90,0,1090
76,67,53,35,10,90,353,412
77,108,45,65,-20,0,0,1130
78,75,90,35,-10,90,203,260
79,81,88,30,-10,90,574,643
80,72,88,35,-20,90,0,1095
81,79,87,30,10,90,668,731
82,65,85,25,-10,90,0,1094
83,73,85,35,-30,90,0,1098
84,86,75,55,-20,90,0,1110
85,90,72,55,-10,90,0,1113
86,84,70,58,20,90,458,523
87,91,68,60,-30,90,0,1116
88,93,66,55,-10,90,0,1119
89,92,65,55,10,90,85,144
90,85,65,60,10,90,0,1119
91,87,63,58,30,90,0,1121
92,89,60,55,-10,90,0,1125
93,88,60,60,10,90,0,1123
94,106,67,85,-20,0,368,441
95,97,65,85,30,90,0,1102
96,101,65,82,-10,90,0,1105
97,95,62,80,-30,90,0,1108
98,100,60,80,20,90,0,1109
99,102,60,85,-30,90,0,1105
100,98,58,75,-20,90,0,1115
101,96,55,80,10,90,743,820
102,99,55,85,30,90,647,726
103,26,25,50,10,90,0,1131
104,16,22,85,10,90,0,1106
105,35,8,40,40,90,0,1112
106,94,67,85,20,90,368,441
107,49,30,35,10,90,0,1127
108,77,45,65,20,90,0,1130
