in,jn,x,y,qc,tc,te,tl
2,52,-29.993605,-51.1368829,-36,15,205,265
3,53,-29.9811884,-51.1251976,-54,15,171,231
4,54,-30.0346254,-51.2235977,-45,15,194,254
5,55,-29.9793747,-51.1895527,-33,15,241,301
6,56,-30.1538795,-51.2020293,-60,15,347,407
7,57,-30.0330035,-51.1119584,-36,15,102,162
8,58,-29.9958283,-51.1085548,-11,15,325,385
9,59,-30.0188839,-51.1016226,-14,15,164,224
10,60,-30.0175916,-51.1016345,-44,15,214,274
11,61,-30.1637737,-51.2294754,-29,15,147,207
12,62,-30.0076234,-51.1150782,-56,15,16,76
13,63,-30.0015409,-51.1307188,-53,15,21,81
14,64,-30.0168072,-51.1460659,-59,15,0,480
15,65,-29.9736089,-51.1809604,-22,15,363,423
16,66,-30.0217187,-51.1291498,-18,15,269,329
17,67,-30.039309,-51.105955,-28,15,119,179
18,68,-30.0161312,-51.1119549,-48,15,344,404
19,69,-29.9891476,-51.2011819,-47,15,271,331
20,70,-30.0227515,-51.0997112,-46,15,188,248
21,71,-29.9903215,-51.1085524,-18,15,87,147
22,72,-30.0048868,-51.1163659,-47,15,368,428
23,73,-29.9815263,-51.1326192,-33,15,286,346
24,74,-30.0378508,-51.1251719,-19,15,344,404
25,75,-30.1640519,-51.1946716,-35,15,0,480
26,76,-29.9952646,-51.1319885,-47,15,207,267
27,77,-30.0136964,-51.1113539,-20,15,285,345
28,78,-30.0152727,-51.1514519,-48,15,107,167
29,79,-30.0128182,-51.1192266,-12,15,0,480
30,80,-29.9796507,-51.1343178,-31,15,178,238
31,81,-30.0261979,-51.1407659,-37,15,346,406
32,82,-30.0287795,-51.1660134,-40,15,225,285
33,83,-30.0212859,-51.1294081,-59,15,192,252
34,84,-30.0126113,-51.1195644,-51,15,138,198
35,85,-29.973338,-51.1705849,-52,15,248,308
36,86,-30.076814,-51.2236793,-11,15,26,86
37,87,-29.9915229,-51.1965244,-49,15,140,200
38,88,-30.1407726,-51.225284,-17,15,164,224
39,89,-30.1613729,-51.1261603,-58,15,247,307
40,90,-30.0002584,-51.1287783,-35,15,42,102
41,91,-29.9691055,-51.1752117,-33,15,351,411
42,92,-30.1072915,-51.2541188,-44,15,42,102
43,93,-30.1414219,-51.1990127,-31,15,124,184
44,94,-30.0458282,-51.1320245,-22,15,24,84
45,95,-30.1111981,-51.2356677,-10,15,20,80
46,96,-30.0664778,-51.1772138,-12,15,162,222
47,97,-29.9881265,-51.1298346,-38,15,104,164
48,98,-30.0287986,-51.1396828,-40,15,82,142
49,99,-29.9813105,-51.1272533,-59,15,303,363
50,100,-29.9932727,-51.1035764,-45,15,108,168
51,101,-30.0892267,-51.2135965,-41,15,163,223
52,2,-30.0414643,-51.1948628,36,15,238,298
53,3,-30.0710151,-51.170489,54,15,210,270
54,4,-30.0479968,-51.1574165,45,15,285,345
55,5,-30.0370085,-51.2301952,33,15,270,330
56,6,-30.0536984,-51.1982674,60,15,387,447
57,7,-30.0162741,-51.1733761,36,15,133,193
58,8,-30.0446387,-51.1572114,11,15,359,419
59,9,-30.0036038,-51.1937474,14,15,196,256
60,10,-30.0537852,-51.2141556,44,15,261,321
61,11,-30.0315455,-51.1167694,29,15,207,267
62,12,-29.9798964,-51.1362421,56,15,42,102
63,13,-30.1481652,-51.2045736,53,15,83,143
64,14,-29.9944378,-51.1361174,59,15,0,480
65,15,-30.0482878,-51.1553464,22,15,403,452
66,16,-30.0070465,-51.1021956,18,15,294,354
67,17,-30.005197,-51.1962338,28,15,215,275
68,18,-30.0109005,-51.2022064,48,15,379,439
69,19,-30.1174158,-51.0999377,47,15,319,379
70,20,-30.0230742,-51.1338921,46,15,214,274
71,21,-30.0041601,-51.2022036,18,15,124,184
72,22,-30.0767754,-51.2126851,47,15,412,462
73,23,-30.1576349,-51.1390473,33,15,351,411
74,24,-29.9995893,-51.1048858,19,15,371,431
75,25,-30.0459819,-51.2027897,35,15,0,480
76,26,-30.0055745,-51.0895827,47,15,294,354
77,27,-30.0677011,-51.1692699,20,15,323,383
78,28,-30.1059592,-51.2335476,48,15,157,217
79,29,-30.0006619,-51.1282216,12,15,0,480
80,30,-30.0857633,-51.2296275,31,15,229,289
81,31,-29.9913881,-51.1381685,37,15,371,431
82,32,-30.0283442,-51.1092074,40,15,254,314
83,33,-30.1166839,-51.2310327,59,15,239,299
84,34,-30.1561672,-51.1718576,51,15,208,268
85,35,-30.0173134,-51.2076663,52,15,275,335
86,36,-30.1094115,-51.2543221,11,15,51,111
87,37,-29.9998004,-51.1013231,49,15,172,232
88,38,-30.1479098,-51.1458399,17,15,201,261
89,39,-30.2412103,-51.0820844,58,15,285,345
90,40,-30.0108223,-51.146997,35,15,63,123
91,41,-30.0637333,-51.1936853,33,15,390,450
92,42,-30.0138535,-51.1240072,44,15,89,149
93,43,-30.0692705,-51.2132839,31,15,159,219
94,44,-29.9903757,-51.12247,22,15,54,114
95,45,-29.9937005,-51.1378866,10,15,67,127
96,46,-30.2259047,-51.0745095,12,15,238,298
97,47,-30.0391857,-51.1411065,38,15,131,191
98,48,-30.0445552,-51.1635088,40,15,106,166
99,49,-30.0216749,-51.2136527,59,15,337,397
100,50,-30.0923455,-51.2219875,45,15,161,221
101,51,-30.0518354,-51.1826425,41,15,188,248
